"name","sku","price","quantity","tags","image","description"
"Men Solid Oversized Cotton","APP-00001","6.38","13","clothing,cotton,difference of opinion,men,oversized,solid","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/16407468/2021/12/28/fce7ca1e-01ec-4c12-a90f-c7b75abda0e01640669480687-Difference-of-Opinion-Men-Tshirts-4021640669480120-1.jpg","Men Solid Oversized Cotton. From Difference of Opinion."
"Men Cotton Pure Cotton T-shirt","APP-00002","3.29","36","clothing,cotton,men,roadster","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/1996777/2022/11/22/336445a8-fa32-4396-914a-2629b49465d31669112704759RoadsterMenBlackCottonPureCottonT-shirt1.jpg","Men Cotton Pure Cotton T-shirt. From Roadster."
"Women Pure Cotton T-shirt","APP-00003","6.61","91","clothing,cotton,dillinger,women","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/15598180/2022/2/4/0cae0b47-0ae6-4bec-aa2f-a00a5624c3a11643957685405-DILLINGER-Women-Navy-Blue-Typography-Printed-Pure-Cotton-Loo-1.jpg","Women Pure Cotton T-shirt. From DILLINGER."
"Typography Print T-shirt","APP-00004","3.55","99","clothing,huetrap","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg","Typography Print T-shirt. From Huetrap."
"Printed Round Neck Pure Cotton T-shirt","APP-00005","5.93","47","clothing,cotton,printed,roadster","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/11545192/2022/3/25/626b0419-cbb0-4200-8490-67e20a0021c51648208612203-Roadster-Men-Green--White-Printed-Round-Neck-Pure-Cotton-T-s-1.jpg","Printed Round Neck Pure Cotton T-shirt. From Roadster."
"Boys Pack of 5 T-shirt","APP-00006","8.39","70","clothing,hellcat,kids","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/17137560/2022/2/11/4dd42ff2-7468-4bcc-a4a2-f0994b2d01751644582207769HellcatBoysRoundNeckBlendedCottonTshirt-ComboPackof51.jpg","Boys Pack of 5 T-shirt. From HELLCAT."
"Polo Collar Cotton Pure Cotton T-shirt","APP-00007","5.39","36","clothing,cotton,roadster","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/1996801/2018/8/3/15c9e328-62bd-49ea-8cbd-7bc2047ba02f1533279315890-Roadster-Men-Black-Solid-Polo-Collar-T-shirt-836153327931345-1.jpg","Polo Collar Cotton Pure Cotton T-shirt. From Roadster."
"Boys Pack Of 5 Printed T-shirt","APP-00008","8.39","85","clothing,hellcat,kids,printed","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/17137550/2022/2/11/b124b0f4-830d-44ed-a669-e8585d66cf4f1644579708683HellcatBoysRoundNeckBlendedCottonTshirt-ComboPackof51.jpg","Boys Pack Of 5 Printed T-shirt. From HELLCAT."
"Printed Pure Cotton T-shirt","APP-00009","3.35","59","clothing,cotton,hrx by hrithik roshan,printed","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/1700871/2020/1/22/f932ae44-0fb8-4b92-b7bc-f1756253294b1579692118186-HRX-by-Hrithik-Roshan-Men-Teal-Blue-Printed-T-shirt-90515796-1.jpg","Printed Pure Cotton T-shirt. From HRX by Hrithik Roshan."
"Printed Round Neck Pure Cotton T-shirt","APP-00010","4.79","71","clothing,cotton,printed,roadster","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/12193826/2020/10/13/e5880ee7-80af-4405-ae9f-7760b22a34621602571369433-Roadster-Women-Tshirts-1601602571367968-1.jpg","Printed Round Neck Pure Cotton T-shirt. From Roadster."
